tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt9888994	tvEpisode	Episode #1.96	Episode #1.96	0	\N	\N	\N	Drama
tt9888996	tvEpisode	Episode #1.99	Episode #1.99	0	\N	\N	\N	Drama
tt9888998	tvEpisode	Episode #1.98	Episode #1.98	0	\N	\N	\N	Drama
tt9889000	tvEpisode	Episode #1.100	Episode #1.100	0	\N	\N	\N	Drama
tt9889002	short	Después también	Después también	0	2019	\N	\N	Short
tt9889008	tvEpisode	When Someone Just Won't Let Something Go	When Someone Just Won't Let Something Go	0	\N	\N	\N	Comedy,Music,Musical
tt9889030	tvEpisode	Episode dated 5 March 2019	Episode dated 5 March 2019	0	2019	\N	\N	News
tt9889036	tvEpisode	WWE WrestleMania 35 Fallout	WWE WrestleMania 35 Fallout	0	\N	\N	\N	Action,Sport
tt9889042	tvSeries	The Banker	Deo Baengkeo	0	2019	\N	\N	Drama
tt9889044	tvEpisode	Clip: 10 new features coming to minecraft	Clip: 10 new features coming to minecraft	0	\N	\N	\N	\N
tt9889050	tvEpisode	Clip: surviving on a lava tower in minecraft	Clip: surviving on a lava tower in minecraft	0	\N	\N	\N	\N
tt9889068	tvEpisode	Back to My Place	Back to My Place	0	\N	\N	\N	Action,Adventure,Comedy
tt9889096	tvEpisode	Clip: don't choose the wrong minecraft path	Clip: don't choose the wrong minecraft path	0	\N	\N	\N	\N
tt9889102	tvEpisode	Clip: i found ronald in minecraft	Clip: i found ronald in minecraft	0	\N	\N	\N	\N
tt9889106	tvEpisode	Clip: 10 craziest commands to exist in minecraft	Clip: 10 craziest commands to exist in minecraft	0	\N	\N	\N	\N
tt9889112	tvEpisode	Clip: neighbor found me!	Clip: neighbor found me!	0	\N	\N	\N	\N
tt9889114	tvEpisode	Clip: 500 buttons vs 1 minecraft noob	Clip: 500 buttons vs 1 minecraft noob	0	\N	\N	\N	\N
tt9889136	tvEpisode	Clip: 5 life sized giant minecraft rooms	Clip: 5 life sized giant minecraft rooms	0	\N	\N	\N	\N
tt9889142	tvEpisode	Clip: hunger games the betrayal	Clip: hunger games the betrayal	0	\N	\N	\N	\N
tt9889144	tvEpisode	Clip: minecraft hunger game - stone sword	Clip: minecraft hunger game - stone sword	0	\N	\N	\N	\N
tt9889158	tvEpisode	Clip: sg 4 again	Clip: sg 4 again	0	\N	\N	\N	\N
tt9889172	tvEpisode	Clip: a powerful pink house	Clip: a powerful pink house	0	\N	\N	\N	\N
tt9889176	tvEpisode	Clip: diamond boots	Clip: diamond boots	0	\N	\N	\N	\N
tt9889178	tvEpisode	Clip: it's my boat!	Clip: it's my boat!	0	\N	\N	\N	\N
tt9889182	tvEpisode	Clip: ghosting	Clip: ghosting	0	\N	\N	\N	\N
tt9889188	tvEpisode	Clip: vanished into thin air	Clip: vanished into thin air	0	\N	\N	\N	\N
tt9889192	tvEpisode	Clip: so close	Clip: so close	0	\N	\N	\N	\N
tt9889194	tvEpisode	Clip: to the rescue	Clip: to the rescue	0	\N	\N	\N	\N
tt9889202	tvEpisode	Clip: so many seeds	Clip: so many seeds	0	\N	\N	\N	\N
